descricao,correto,insumo_1
30 CAP | BUPROPIONA CLORIDRATO  150MG,39.9,BUPROPIONA CLORIDRATO
60 CAP | GARCINIA CAMBOJA EXT SECO  250MG; PICOLINATO DE CROMO  300MCG; FASEOLAMINA  200MG; CASSIOLAMINA EXTRACT  200MG,68.1,GARCINIA CAMBOJA EXT SECO
60 CAP | SAME  200MG,191.3,SAME
90 CAP | VITAMINA D3   5000UI,47.4,VITAMINA D3
30 CAP | VITAMINA B2  10MG; VITAMINA B6  10MG; VITAMINA B12  30MCG; ACIDO FOLICO  3MG; ZINCO QUELADO  200MCG; SELENIO QUELADO  200MCG; MAGNESIO GLICIL GLUTAMINA  400MG; VITAMINA C  1200MG; BORO QUELADO  3MG; MANGANES QUELADO  3MG; SILIMARINA  200MG; METIONINA  50MG; PICOLINATO DE CROMO  900MCG; ESPIRONOLACTONA  100MG; PYGEUM AFRICANUM EXT. SECO  200MG; SAW PALMETO EXT SECO  100MG; FINASTERIDA  1MG,227.8,VITAMINA B2
30 CAP | TANACETO EXT SECO  125MG,51.4,TANACETO EXT SECO
60 CAP | VITAMINA D3 OLEOSAS  10000UI; VITAMINA A OLEOSA ORAL  700UI; VITAMINA K2 MK7  100MCG,46.8,VITAMINA D3 OLEOSAS
30 CAP | T3  7MCG,39.9,T3
90 CAP | VITAMINA B12  300MCG,47.4,VITAMINA B12
30 CAP | T4  35MCG; T3  7MCG,39.9,T4
30 CAP | INSEA2  250MG,162.7,INSEA2
90 CAP | VITAMINA D3 1:100  10000UI,47.4,VITAMINA D3 1:100
90 CAP | QUERATINA ORAL  20MG; CISTINA  20MG; ACIDO PARAMINOBENZOICO  60MG; LEVEDURA MEDICINAL  100MG; TIAMINA  60MG; PANTOTENATO DE CALCIO  60MG; BIOTINA  5MG,161.0,QUERATINA ORAL
90 CAP | COENZIMA Q10 PO  70MG,115.0,COENZIMA Q10 PO
120 CAP | TAURINA  500MG,49.5,TAURINA
80 CAP | BUPROPIONA CLORIDRATO  150MG,67.0,BUPROPIONA CLORIDRATO
80 CAP | VITAMINA C  100MG; TOPIRAMATO  25MG; PROPANOLOL  25MG; SELENIO QUELADO  100MCG; ORLISTAT  100MG; PLANTAGO OVATA  120MG,236.0,VITAMINA C
30 CAP | ISOFLAVONA  50MG; RESVERATROL  50MG; CURCUMINA 200  200MG; PIPERINA  2MG; ECGC  200MG,234.0,ISOFLAVONA
60 CAP | SULFATO DE ZINCO  100MG,44.0,SULFATO DE ZINCO
30 CAP | MAGNESIO DIMALATO  100MG,39.9,MAGNESIO DIMALATO
24 CAP | VITAMINA D3  20000UI,39.9,VITAMINA D3
30 CAP | BUPROPIONA CLORIDRATO  300MG,57.0,BUPROPIONA CLORIDRATO
60 CAP | DEFLAZACORT 1.500MG; DIFOSFATO CLOROQUINA  250MG,175.0,DEFLAZACORT 1.
60 CAP | ANLODIPINA  10MG,43.6,ANLODIPINA
180 CAP | OXANDROLONA  10MG,174.2,OXANDROLONA
120 CAP | OXANDROLONA  2MG,49.5,OXANDROLONA
30 CAP | ACIDOPHILUS LACTOBACILLUS  50MG; GASSERI LACTOBACILLUS  50MG; HELVETICUS LACTOBACILLUS  50MG; LACTOBACILLUS LACTIS  50MG; PARACASEI LACTOBACILLUS   50MG; SALIVARIUS LACTOBACILLUS  50MG; BIFIDOBACTERIA BIFIDUM  50MG; BIFIDOBACTERIUM LACTIS  50MG; BIFIDOBACTERIUM LONGUM  50MG; ENTEROCOCCUS FAECIUM  50MG,59.8,ACIDOPHILUS LACTOBACILLUS
30 CAP | EXSYNUTRIMENT-SILICIO ORGANICO  150MG,130.3,EXSYNUTRIMENT-SILICIO ORGANICO
60 CAP | BETAINA CLORIDRATO  50MG,44.0,BETAINA CLORIDRATO
30 CAP | LACTOBACILLUS ACIDOPHILUS  200MG; CASEI LACTOBACILLUS  200MG; LACTIS LACTOBACILLUS  200MG; BIFIDOBACTERIUM LACTIS  200MG; BIFIDOBACTERIA BIFIDUM  200MG,88.5,LACTOBACILLUS ACIDOPHILUS
30 CAP | LACTOBACILLUS ACIDOPHILUS  100MG; BULGARICUS LACTOBACILLUS  100MG; RHAMNOSUS LACTOBACILLUS  100MG; CASEI LACTOBACILLUS  100MG; PLANTARUM LACTOBACILLUS  100MG; REUTERI LACTOBACILLUS  100MG; JOHNSONII LACTOBACILLUS  100MG; BIFIDOBACTERIA BIFIDUM  100MG; BIFIDOBACTERIUM LACTIS  100MG,85.1,LACTOBACILLUS ACIDOPHILUS
60 CAP | VITAMINA D LIQ CAP ATE 15MIL  10000UI; VITAMINA K2 SOL MAE  60MCG,52.7,VITAMINA D LIQ CAP ATE 15MIL
30 CAP | SILIMARINA EXT SECO  200MG,39.9,SILIMARINA EXT SECO
60 CAP | COENZIMA Q10   200MG,191.7,COENZIMA Q10
60 CAP | GLUTATIONA  50MG,66.8,GLUTATIONA
30 CAP | DIPIRONA  1G,78.0,DIPIRONA
120 CAP | VITAMINA D  10000UI; ALFA TOCOFEROL  100UI,61.5,VITAMINA D
90 CAP | GASSERI LACTOBACILLUS  200MG; CASEI LACTOBACILLUS  200MG; REUTERI LACTOBACILLUS  200MG; BIFIDOBACTERIA BIFIDUM  200MG; BIFIDOBACTERIUM LACTIS  200MG,228.5,GASSERI LACTOBACILLUS
60 CAP | HIDROXITRIPTOFANO-5  50MG; TRIPTOFANO  100MG; PASSIFLORA PO  300MG; VALERIANA EXT SECO  150MG; KAWA KAWA  50MG,190.5,HIDROXITRIPTOFANO-5
90 CAP | ACIDO FOLICO  3MG; VIT B12  400MCG,49.0,ACIDO FOLICO
90 CAP | SULFATO DE ZINCO  20MG,49.0,SULFATO DE ZINCO
30 CAP | VITAMINA D3  7000UI,40.0,VITAMINA D3
120 CAP | BIFIDOBACTERIUM LONGUM  50MG; BIFIDOBACTERIUM LACTIS  50MG; ACIDOPHILUS LACTOBACILLUS  100MG; HELVETICUS LACTOBACILLUS  50MG; LACTOBACILLUS JOHNSONII  30MG; PLANTARUM LACTOBACILLUS  70MG; PARACASEI LACTOBACILLUS   30MG; REUTERI LACTOBACILLUS  20MG; SOD  10MG; XOS (XILOOLIGOSSACARIDEOS)  100MG,171.4,BIFIDOBACTERIUM LONGUM
90 CAP | LACTOBACILLUS RHAMNOSUS  100MG; SALIVARIUS LACTOBACILLUS  50MG; PARACASEI LACTOBACILLUS   100MG; BIFIDOBACTERIUM LONGUM  50MG; BIFIDOBACTERIUM LACTIS  100MG; LACTOBACILLUS ACIDOPHILUS  100MG; INULINA  150MG,141.2,LACTOBACILLUS RHAMNOSUS
60 CAP | L TRIPTOFANO  100MG,43.6,L TRIPTOFANO
180 CAP | VITAMINA D3  10000UI; VITAMINA K2 MK7  150MCG,96.7,VITAMINA D3
30 CAP | DOXEPINA CLORIDRATO  20MG,52.0,DOXEPINA CLORIDRATO
30 CAP | BIFIDOBACTERIUM INFANTIS  100MG; BIFIDOBACTERIA BIFIDUM  100MG; ACIDOPHILUS LACTOBACILLUS  100MG; HELVETICUS LACTOBACILLUS  150MG; PLANTARUM LACTOBACILLUS  100MG; XOS (XILOOLIGOSSACARIDEOS)  200MG,61.4,BIFIDOBACTERIUM INFANTIS
60 CAP | HIDROXIZINE  25MG,62.0,HIDROXIZINE
120 CAP | VITAMINA C  1G; ZINCO  10MG,124.6,VITAMINA C
90 CAP | VITAMINA D3 1  4000UI,47.4,VITAMINA D3 1
60 CAP | MAGNESIO DIMALATO  300MG; TIAMINA  25MG; RIBOFLAVINA  25MG; NIACINA NO FLUSH  100MG; PIRIDOXAL-5-FOSFATO  20MG; METILCOBALAMINA   100MCG; CROMO GTF  100MCG; SELENIO QUELADO  50MCG; ZINCO QUELADO  10MG; ACIDO ALFA LIPOICO  150MG; VITAMINA K2 MK7  75MCG,172.6,MAGNESIO DIMALATO
90 CAP | RHODIOLA ROSEA  100MG; LICORICE   75MG,64.0,RHODIOLA ROSEA
30 CAP | METILFOLATO 1:10  300MCG; PIRIDOXAL-5-FOSFATO  5MG; VIT B6  30MG; PANTOTENATO DE CALCIO  100MG; FERRO QUELADO  30MG; VIT B12  225MCG; MAGNESIO QUELADO  200MG; CITRATO DE CALCIO  500MG; ASPARTATO DE POTASSIO  40MG; ACIDO LIPOICO  50MG; EXSYNUTRIMENT-SILICIO ORGANICO  200MG; VITAMINA K2 MK7  140MCG; L LISINA  250MG; DIM  50MG,308.6,METILFOLATO 1:10
90 CAP | CURCUMA LONGA  300MG; BOSWELLIA SERRATA  300MG; PIPERINA  10MG,249.2,CURCUMA LONGA
60 CAP | T4  25MCG; T3  5MCG; HIDROCORTISONA BASE  15MG,67.6,T4
120 CAP | METIONINA  200MG; CISTEÍNA  80MG; CISTINA  25MG; HIDROLISADO PROTEINAS  25MG; EXTRATO DE MILHO  20MG; PANTOTENATO DE CALCIO  25MG; VITAMINA B2  1MG; VITAMINA B6  10MG; BIOTINA 0.200MG; VITAMINA E  3MG,104.6,METIONINA
180 CAP | VITAMINA D  20000UI,75.8,VITAMINA D
90 CAP | VITAMINA K2 MK7  150MCG; VITAMINA D LIQ CAP ATE 15MIL  10000UI; VITAMINA A OLEOSA ORAL  1000UI,61.4,VITAMINA K2 MK7
30 CAP | ALTILIX (BIONAP)  100MG; CACTI-NEA  1G; LIPOFF  200MG; MOROSIL  100MG,203.5,ALTILIX (BIONAP)
60 CAP | MAGNESIO QUELADO 30%  150MG,43.6,MAGNESIO QUELADO 30%
60 CAP | BEANBLOCK  100MG,217.6,BEANBLOCK
30 CAP | MODULIP GC  70MG; 5HTP  50MG,113.6,MODULIP GC
60 CAP | COENZIMA Q10 LIPOFILICA  100MG; ACETIL L-CARNITINA   300MG; BIOPQQ  5MG,174.9,COENZIMA Q10 LIPOFILICA
1 CAP | ACIDO FOLICO  5MG,39.9,ACIDO FOLICO
30 CAP | SILIMARINA  300MG; ACIDO ALFA LIPOICO  200MG; CURCUMA EXT SECO  200MG; BOLDO  200MG; METIONINA  200MG; COENZIMA Q10 PO  200MG,217.9,SILIMARINA
30 CAP | CAMELLIA SINENSIS  500MG; CAPSICUM ANNUUM  15MG; CITRUS AURANTIUM EXT SECO  300MG; GARCINIA CAMBOJA EXT SECO  500MG,113.5,CAMELLIA SINENSIS
30 CAP | MELATONINA SLOW RELEASE  3MG; SELENIO QUELADO  50MCG; ZINCO QUELADO 8.700MG; RELORA  250MG; 5-HTP  50MG,156.5,MELATONINA SLOW RELEASE
90 CAP | OXANDROLONA  3MG; ESPIRONOLACTONA  30MG,81.2,OXANDROLONA
56 CAP | TOPIRAMATO 12.500MG,43.6,TOPIRAMATO 12.
90 CAP | VITAMINA D LIQ CAP ATE 15MIL  7000UI; VITAMINA A OLEOSA ORAL  1000UI; VITAMINA K2 SOL MAE  100MCG,55.9,VITAMINA D LIQ CAP ATE 15MIL
30 CAP | BUPROPIONA   150MG,39.9,BUPROPIONA
60 CAP | VITAMINA D3 1:100  8000UI,44.0,VITAMINA D3 1:100
60 CAP | VITAMINA D OLEOSAS  20000UI,59.3,VITAMINA D OLEOSAS
60 CAP | MAGNESIO DIMALATO  300MG; TRANSRESVERATROL  25MG; PICNOGENOL 12.500MG; ZINCO QUELADO  10MG; SELENIO QUELADO  50MCG; CROMO GTF  300MCG; TIAMINA  25MG; RIBOFLAVINA  20MG; PIRIDOXAL-5-FOSFATO  10MG; ACIDO PANTOTENICO  25MG; BIOTINA 2.500MG; METILFOLATO   125MCG; METILCOBALAMINA   150MCG; NIACINA NO FLUSH  50MG; ACIDO ALFA LIPOICO  150MG,200.0,MAGNESIO DIMALATO
30 CAP | T4  20MCG; T3  4MCG; CORTISOL BASE  20MG,51.3,T4
30 CAP | PICOLINATO DE CROMO  1000MCG; MAGNESIO QUELADO 30%  400MG; ARGININA  100MG; TAURINA  100MG; PIPERINA  10MG; QUERCETINA  400MG; VITAMINA C  1000MG; MANGANES QUELADO  3MG; BORO QUELADO  3MG; ZINCO QUELADO  20MG; VITAMINA B2  30MG; VITAMINA B6  30MG; VITAMINA B12  60MCG; ACIDO FOLICO  3MG; VITAMINA B5  80MG; COBRE QUELADO  1MG; BIOTINA  10MG,259.3,PICOLINATO DE CROMO
30 CAP | ZINCO QUELADO  30MG; VIT C  500MG; COENZIMA Q10 PO  100MG; VIT E  600UI,125.9,ZINCO QUELADO
30 CAP | CACTIN  500MG,62.9,CACTIN
90 CAP | ACIDOPHILUS LACTOBACILLUS  100MG; BIFIDOBACTERIA BIFIDUM  100MG; RHAMNOSUS LACTOBACILLUS  100MG; BULGARICUS LACTOBACILLUS  100MG; CASEI LACTOBACILLUS  100MG; ENTEROCOCCUS FAECIUM  100MG,145.4,ACIDOPHILUS LACTOBACILLUS
60 CAP | PRASTERONA  25MG,180.0,PRASTERONA
120 CAP | VITAMINA D LIQ CAP ATE 15MIL  5000UI; VIT A OLEOSA  500UI; VITAMINA K2 LIQ SOL MAE  50MCG,59.9,VITAMINA D LIQ CAP ATE 15MIL
30 CAP | VITAMINA B15  100MG,59.8,VITAMINA B15
90 CAP | PICOLINATO DE CROMO  150MCG; GARCINIA CAMBOJA  200MG; IRVINGIA GABONESIS EXT SECO  150MG; PSILIUM  1000MG; GYMNEMA SILVESTRE  200MG; ACETIL L-CARNITINA HCL  200MG,154.0,PICOLINATO DE CROMO
30 CAP | VITAMINA K2 SOL MAE  120MCG,40.0,VITAMINA K2 SOL MAE
60 CAP | VITAMINA D LIQ CAP ATE 15MIL  10000UI; VITAMINA A OLEOSA ORAL  1000UI; VITAMINA K2 SOL MAE  120MCG,47.1,VITAMINA D LIQ CAP ATE 15MIL
120 CAP | METFORMINA  850MG,122.0,METFORMINA
60 CAP | PICOLINATO CROMO  1000MCG; ZINCO QUELADO  30MG; SELENIO QUELADO  200MCG; MAGNESIO QUELADO 30%  400MG; VIT C  1300MG; QUERCETINA  500MG; CROMO QUELADO  200MCG; IOIMBINA CLORIDRATO  10MG; VIT B2  20MG; BIOTINA  5MG; VITAMINA B3  20MG; VIT B5  50MG; ACIDO FOLICO  3MG; VIT B12  40MCG; ACIDO ALFA LIPOICO  50MG; LETROZOL 1:100 0.200MG,462.0,PICOLINATO CROMO
60 CAP | CLOMIFENO CITRATO  100MG; FINASTERIDA  5MG,282.9,CLOMIFENO CITRATO
120 CAP | TRIIODOTIRONINA SLOW RELEASE  15MCG,49.5,TRIIODOTIRONINA SLOW RELEASE
120 CAP | DIM  200MG,247.6,DIM
60 CAP | T4  75MCG,43.6,T4
30 CAP | PASSIFLORA  100MG; MELISSA EXT SECO  200MG; ERYTHRINA MULUNGU  100MG,40.0,PASSIFLORA
60 CAP | PASSIFLORA  500MG,57.2,PASSIFLORA
32 CAP | VITAMINA D3 1:100  7000UI,45.0,VITAMINA D3 1:100
60 CAP | VIT B1  25MG; VIT B2  5MG; VIT B6  5MG; VITAMINA B9  200MCG; METILCOBALAMINA 1:100  100MCG; VIT C  500MG; ZINCO QUELADO  10MG; MIOINOSITOL  2G; SELENIO QUELADO  80MCG; TIROSINA  1MG; CROMO PICOLINATO  100MCG; IODETO DE POTASSIO  25MCG,206.0,VIT B1
30 CAP | THEANINA  100MG; 5-HTP  10MG; VALERIANA  500MG; PASSIFLORA  300MG; ASHWAGANDHA EXTRATO  500MG; MAGNESIO QUELADO 30%  200MG; ZINCO QUELADO  10MG; COBRE QUELADO  1MG; VIT B6  20MG; NICOTINAMIDA  10MG; SAME  200MG,300.0,THEANINA
30 CAP | ESCITALOPRAM (OXALATO)  20MG,40.0,ESCITALOPRAM (OXALATO)
120 CAP | VITAMINA D LIQ CAP ATE 15MIL  15000UI; VITAMINA A OLEOSA ORAL  1000UI; VITAMINA K2 SOL MAE  130MCG,99.0,VITAMINA D LIQ CAP ATE 15MIL
60 CAP | SULFATO DE ZINCO  50MG,45.0,SULFATO DE ZINCO
60 CAP | CASSIOLAMINA   250MG; CLORELLA PO  300MG; CENTELLA ASIATICA  350MG; GELATINA  350MG; CASC SAGRADA  200MG; MOROSIL  200MG,225.0,CASSIOLAMINA
60 CAP | VITAMINA D LIQ CAP ATE 15MIL  10000UI; VITAMINA K2 MK-7 - LIQUIDA  120MCG; VITAMINA A OLEOSA ORAL  1000UI,56.6,VITAMINA D LIQ CAP ATE 15MIL
90 CAP | VITAMINA D LIQ CAP ATE 15MIL  15000UI,76.5,VITAMINA D LIQ CAP ATE 15MIL
60 CAP | 5-HTP  50MG,62.0,5-HTP
120 CAP | BIFIDOBACTERIUM LONGUM  100MG; GASSERI LACTOBACILLUS  100MG; PLANTARUM LACTOBACILLUS  100MG; PARACASEI LACTOBACILLUS   100MG; BIFIDOBACTERIUM BREVE  100MG,164.7,BIFIDOBACTERIUM LONGUM
80 CAP | TETRACICLINA CLORIDRATO  500MG,94.6,TETRACICLINA CLORIDRATO
120 CAP | EXSYNUTRIMENT  100MG,286.1,EXSYNUTRIMENT
60 CAP | VITAMINA D3 OLEOSA  7000UI; VIT A OLEOSA  100UI,43.6,VITAMINA D3 OLEOSA
60 CAP | ACIDO FOLICO  800MCG; VITAMINA B1  20MG; VITAMINA B2  25MG; VITAMINA B3  20MG; VITAMINA B5  80MG; VITAMINA B12  100MCG; BIOTINA  300MCG,64.0,ACIDO FOLICO
30 CAP | LORAZEPAM  1MG,39.9,LORAZEPAM
120 CAP | BIOTINA 2.500MG,66.3,BIOTINA 2.
60 CAP | VITAMINA D3 1:100  1000UI,43.6,VITAMINA D3 1:100
60 CAP | VITAMINA D  20000UI; VITAMINA A OLEOSA ORAL  2000UI; VITAMINA K2 MK-7  120MCG,70.5,VITAMINA D
30 CAP | FLUNARIZINA   10MG,39.9,FLUNARIZINA
60 CAP | ZINCO  20MG; VITAMINA C  1G,84.1,ZINCO
60 CAP | SPIRULINA  500MG,69.5,SPIRULINA
540 CAP | VITAMINA D  7000UI,102.3,VITAMINA D
60 CAP | CURCUMA EXT SECO  300MG,77.2,CURCUMA EXT SECO
60 CAP | MSM  1000MG,53.0,MSM
120 CAP | MSM  1500MG,113.2,MSM
60 CAP | ACIDO MALICO  500MG; MAGNESIO QUELADO 30%  300MG; CURCUMA EXT SECO  300MG,137.5,ACIDO MALICO
30 CAP | IOIMBINA   5MG,39.9,IOIMBINA
30 CAP | ASHWAGANDHA  500MG,58.8,ASHWAGANDHA
60 CAP | VITAMINA D  2000UI,43.6,VITAMINA D
60 CAP | GREENSELECT PHYTOSOME  120MG,196.2,GREENSELECT PHYTOSOME
90 CAP | SAIS BILIARES PO  300MG,80.0,SAIS BILIARES PO
40 CAP | BIOTINA 7.500MG; EXSYNUTRIMENT-SILICIO ORGANICO  200MG; PANTOTENATO DE CALCIO  60MG; CISTINA  50MG; CISTEÍNA  80MG; TIAMINA  60MG; LICOPENO  1MG,284.0,BIOTINA 7.
60 CAP | VITAMINA D   7000UI; VITAMINA A  700UI; VITAMINA K2 LIQ SOL MAE  120MCG,53.6,VITAMINA D
60 CAP | RELORA  300MG,237.8,RELORA
60 CAP | IMUNO TF  20MG; QUERCETINA  80MG; MANGANES QUELADO  2MG; VITAMINA C  150MG; VITAMINA E  50MG; ZINCO QUELADO  20MG,189.8,IMUNO TF
60 CAP | LIPOFF  400MG; TERMOLIP  150MG; FASEOLAMINA  300MG,200.9,LIPOFF
180 CAP | GARRA DO DIABO   200MG; CLORELLA   100MG; ALCACHOFRA   100MG; VALERIANA  100MG,179.7,GARRA DO DIABO
60 CAP | SULFATO DE GLUCOSAMINA  400MG; SULFATO DE CONDROITINA  500MG,95.9,SULFATO DE GLUCOSAMINA
60 CAP | DIACEREINA  50MG; TC II  40MG; BOSWELLIA  250MG,204.4,DIACEREINA
90 CAP | CARBONATO DE CALCIO PESADO  500MG; VITAMINA D3  200UI,48.0,CARBONATO DE CALCIO PESADO
120 CAP | LISINA L  500MG; ZINCO  15MG; MAGNESIO QUELADO 30%  100MG; VIT E  100MG,124.0,LISINA L
120 CAP | ASTAXANTINA  30MG,98.0,ASTAXANTINA
30 CAP | MOROSIL  300MG; ALTILIX   50MG; CACTI-NEA  200MG; FIBREGUM B  500MG,142.0,MOROSIL
60 CAP | TC II  40MG; BOSWELLIA  250MG,144.3,TC II
30 CAP | GASSERI LACTOBACILLUS  250MG; LACTOBACILLUS LACTIS  100MG; BIFIDOBACTERIUM LACTIS  100MG; ACIDOPHILUS LACTOBACILLUS  100MG; CASEI LACTOBACILLUS  100MG; DELBRUECKII LACTOBACILLUS  50MG; REUTERI LACTOBACILLUS  50MG; RHAMNOSUS LACTOBACILLUS  100MG; BIFIDOBACTERIUM BREVE  50MG; BIFIDOBACTERIA BIFIDUM  100MG; PRETICX  300MG,109.3,GASSERI LACTOBACILLUS
30 CAP | OCITOCINA PO 1:1000  40UI,50.3,OCITOCINA PO 1:1000
60 CAP | CITRUS AURANTIUM EXT SECO  200MG; CAMELIA SINENSIS  200MG; CAPSICUM ANNUUM  5MG; ZINGIBER OFFICINALIS L. ROSCOE  100MG; SILYBUM MARIANUM  100MG,109.8,CITRUS AURANTIUM EXT SECO
30 CAP | CAMELIA SINENSIS  300MG; GARCINIA CAMBOJA  350MG; CITRUS AURANTIUM   250MG; CAPSICUM ANNUUM  15MG; PICOLINATO DE CROMO  400MCG; TRIMETILXANTINA  120MG; CARNITINA   250MG,119.8,CAMELIA SINENSIS
60 CAP | TRIBULUS TERRESTRIS   500MG,60.7,TRIBULUS TERRESTRIS
90 CAP | VITAMINA D3 1:100  5000UI; VITAMINA K2 MK7  90MCG,53.3,VITAMINA D3 1:100
60 CAP | FOSFATO SODIO DIBASICO  825MG; FOSFATO POTASSIO MONOBASICO  156MG; FOSFATO SODIO MONOBASICO  130MG,64.9,FOSFATO SODIO DIBASICO
60 CAP | MACA PO 10%  100MG; TRIBULUS TERRESTRIS EXT SECO  500MG,74.0,MACA PO 10%
30 CAP | UBIQUINOL  50MG; TAURINA  500MG; N ACETIL L CISTEINA  100MG; ACIDO ALFA LIPOICO  100MG; RESVERATROL  40MG,92.0,UBIQUINOL
60 CAP | PROGESTERONA BASE  50MG,76.0,PROGESTERONA BASE
30 CAP | OLI OLA 3%  300MG,121.2,OLI OLA 3%
60 CAP | OMEGA 3 EM PÓ  150MG; TCM PO  250MG; VITAMINA A  500UI; VITAMINA B12  25MCG; VITAMINA D3  50UI; VITAMINA E  5MG,50.5,OMEGA 3 EM PÓ
60 CAP | CURCUMA   1000MG,220.5,CURCUMA
60 CAP | VITAMINA C   1000MG,71.3,VITAMINA C
60 CAP | QUERCETINA  800MG,189.8,QUERCETINA
60 CAP | SAME  200MG; VITAMINA C  100MG; VITAMINA B12  100MCG,199.5,SAME
30 CAP | ARGININA ASPARTATO  500MG; VITAMINA C  500MG; ZINCO  20MG,60.8,ARGININA ASPARTATO
16 CAP | VITAMINA D3   50000UI,40.0,VITAMINA D3
60 CAP | VITAMINA D  7000UI; VITAMINA A   700UI; VITAMINA K2 MK7  120MCG,43.6,VITAMINA D
60 CAP | TIAMINA  17MG; RIBOFLAVINA  17MG; NIACINA NO FLUSH  30MG; ACIDO PANTOTENICO  30MG; PIRIDOXINA  24MG; BIOTINA  50MCG; METILFOLATO 1:10  420MCG; METILCOBALAMINA 1:100  900MCG; FERRO QUELADO  30MG; VIT C  50MG,98.8,TIAMINA
12 CAP | VITAMINA D LIQ CAP ACIMA 15MIL  30000UI,40.0,VITAMINA D LIQ CAP ACIMA 15MIL
60 CAP | ZINCO QUELADO  GLICINA  25MG,43.6,ZINCO QUELADO  GLICINA
120 CAP | VITAMINA C REVESTIDA  500MG,67.0,VITAMINA C REVESTIDA
60 CAP | ERYTHRINA MULUNGU  50MG; GRIFFONIA SIMPLICIFOLIA  50MG; VALERIANA OFFICINALIS  200MG; L THEANINA  50MG,95.9,ERYTHRINA MULUNGU
60 CAP | VITAMINA D3 1:100  5000UI; VITAMINA K2 MK7  25MCG,43.9,VITAMINA D3 1:100
30 CAP | 5 L HIDROXITRIPTOFANO  100MG; PASSIFLORA  300MG; MULUNGU EXT SECO  100MG,75.0,5 L HIDROXITRIPTOFANO
60 CAP | COENZIMA Q10 PO  200MG,191.7,COENZIMA Q10 PO
120 CAP | COENZIMA Q10 PO  100MG; MAGNESIO DIMALATO  400MG; THEANINA  150MG,301.8,COENZIMA Q10 PO
60 CAP | VITAMINA D  10000UI; VIT A OLEOSA  1000UI; VITAMINA K2 LIQ SOL MAE  120MCG,47.1,VITAMINA D
60 CAP | EQUISETUM ARVENSE  150MG; CITRUS AURANTIUM   500MG; ZINGIBER OFFICINALE  200MG,123.1,EQUISETUM ARVENSE
90 CAP | VITAMINA D LIQ CAP ACIMA 15MIL  10000UI; VIT A OLEOSA  1000UI; VITAMINA K2 SOL MAE  80MCG,50.9,VITAMINA D LIQ CAP ACIMA 15MIL
90 CAP | VITAMINA A  1200UI; VITAMINA D3  12000UI; VITAMINA K2 MK7  100MCG,64.3,VITAMINA A
90 CAP | ACIDO TRANEXAMICO  150MG,87.0,ACIDO TRANEXAMICO
90 CAP | VITAMINA C  1G; ZINCO  15MG,105.6,VITAMINA C
90 CAP | VITAMINA K2 MK7  80MCG; MAGNESIO DIMALATO  400MG,88.8,VITAMINA K2 MK7
90 CAP | ACIDO FOLICO  5MG; VITAMINA B12  400MCG,47.4,ACIDO FOLICO
90 CAP | MAGNESIO GLICINA  100MG; CARNITINA L  500MG; COENZIMA Q10 PO  50MG,181.6,MAGNESIO GLICINA
90 CAP | VITAMINA D3  8000UI,57.8,VITAMINA D3
45 CAP | MAGNESIO QUELADO 30%  150MG; GABA  250MG; TAURINA  150MG; GLICINA  100MG; THEANINA  25MG; MELATONINA  1MG,83.9,MAGNESIO QUELADO 30%
90 CAP | IRVINGIA GABONESIS EXT SECO  350MG; CASSIOLAMINA EXTRACT  250MG; FASEOLAMINA  250MG; SLENDESTA  150MG,196.4,IRVINGIA GABONESIS EXT SECO
30 CAP | T4  38MCG; T3  9MCG; CORTISOL BIOIDENTICO  5MG,39.9,T4
45 CAP | VITAMINA B6  50MG; METILCOBALAMINA 1:100  400MCG; VITAMINA A  500UI; VITAMINA C  500MG; VITAMINA D  3000UI; VITAMINA E  100UI; VITAMINA K2 MK7 62.500MCG; TIAMINA  25MG; RIBOFLAVINA  15MG; NIACINAMIDA  25MG; METILFOLATO 1:10  400MCG; BIOTINA  200MCG; ACIDO PANTOTENICO  150MG; MAGNESIO DIMALATO  300MG; ZINCO QUELADO  3MG; SELENIO QUELADO  100MCG; COBRE QUELADO 0.300MG; MANGANES QUELADO  2MG; CROMO QUELADO  200MCG; MOLIBDENIO QUELADO  25MCG; BITARTARATO COLINA  50MG; INOSITOL  50MG; TOCOTRIENOIS  100MG; RUTINA  25MG; BORO QUELADO 1.500MG; VANADIO QUELADO  100MCG,234.0,VITAMINA B6
60 CAP | ACIDOPHILUS LACTOBACILLUS  375MG; RHAMNOSUS LACTOBACILLUS  300MG; CASEI LACTOBACILLUS  150MG; BIFIDOBACTERIUM LACTIS  225MG; BIFIDOBACTERIUM BREVE  150MG; BIFIDOBACTERIUM LONGUM  150MG; BIFIDOBACTERIA BIFIDUM  75MG; STREPTOCOCCUS TERMOPHILUS  75MG,217.8,ACIDOPHILUS LACTOBACILLUS
60 CAP | VITAMINA D LIQ   10000UI; VITAMINA A OLEOSA  1000UI; VITAMINA K2 MK-7 - LIQUIDA  100MCG,54.4,VITAMINA D LIQ
30 CAP | SERENZO  500MG,88.2,SERENZO
90 CAP | PANCREATINA  100MG; BROMELINA  100MG; PAPAINA  50MG,81.0,PANCREATINA
60 CAP | KELP IODINE EXTRACT    300MCG  30MG,43.6,KELP IODINE EXTRACT    300MCG
